#{"t_start": 1780253741.6994593, "env_id": "None"}
r,l,t
-78.637436,62,2.078903
-131.08722,68,2.09055
-101.37648,71,2.097189
30.761349,75,2.105016
-328.14667,81,2.116686
-14.276928,82,2.118813
-223.47365,90,2.132883
-111.361664,96,2.144812
-200.06305,102,2.155966
-318.88757,102,2.156055
-284.8405,118,2.186854
-101.21829,119,2.190284
-42.149796,119,2.190377
-143.36984,126,2.205064
-48.42018,65,2.207566
-78.44706,137,2.225554
-70.030945,64,2.229107
-92.78953,73,2.232671
-235.54688,151,2.249664
-89.602005,83,2.255151
13.743313,68,2.261829
-2.5629425,59,2.267454
-0.20477676,91,2.291906
-126.18877,78,2.307629
-72.96199,67,2.317443
-201.70474,105,2.319422
-244.81114,52,2.324841
-158.76009,79,2.353922
-177.70183,115,2.361291
-74.96969,73,2.367172
-245.19193,97,2.370831
-3.3332176,95,2.37881
-51.76159,61,2.381269
-84.88025,106,2.388811
-66.27772,85,2.409055
19.036152,78,2.409141
-415.62643,98,2.411695
-56.06566,86,2.418407
-88.619896,76,2.449139
-73.15512,76,2.45742
-171.34355,51,2.464563
-114.1077,85,2.478988
-64.23235,78,2.519756
-66.92965,122,2.522762
-55.01554,71,2.525926
-146.29892,53,2.563258
-50.034157,128,2.563327
1.3631592,96,2.57294
-110.8797,82,2.581512
-80.41017,86,2.58376
-75.69179,117,2.594602
-139.06195,108,2.596689
-117.87564,81,2.615717
-81.362755,101,2.615794
-371.9077,133,2.620692
-52.553474,77,2.626587
-66.92912,110,2.63522
-150.15936,77,2.680013
-70.47958,102,2.687233
48.71725,91,2.702511
-102.979256,82,2.723831
-76.35406,75,2.728579
-318.29623,104,2.733804
-87.28952,74,2.738777
-217.56384,79,2.750643
-236.74088,66,2.75699
-70.14281,90,2.757053
-185.64038,105,2.775619
-231.12428,83,2.779306
-352.4479,126,2.805589
-75.83563,108,2.814888
-55.885986,111,2.821985
-70.29545,110,2.824241
-56.831573,62,2.841864
-67.70073,84,2.863055
-161.22383,94,2.865076
-105.523094,75,2.873397
-174.98508,81,2.888209
-243.16336,118,2.900494
-125.587906,93,2.903017
78.487015,94,2.935369
-120.7424,96,2.940337
-50.497097,65,2.946127
-111.33027,73,2.968958
-93.508255,82,2.96903
-109.6532,98,2.970934
-51.873848,60,2.981622
-118.86255,84,2.986485
-59.46633,129,2.994548
-134.47331,84,3.002327
-152.67862,136,3.031944
-247.84875,85,3.033788
-26.486076,82,3.045907
-122.15495,78,3.050909
-228.14267,104,3.062835
-117.52818,67,3.068688
-8.688469,75,3.076726
-252.1008,91,3.078781
-67.35547,64,3.086679
-317.1421,87,3.102804
-75.96721,89,3.128208
-71.33748,92,3.135706
-112.4324,96,3.160285
-372.30673,104,3.170001
-218.57484,81,3.184396
-86.0231,76,3.184485
-84.24144,104,3.1926
-92.80954,79,3.203724
-226.13118,72,3.205448
-211.72209,124,3.217064
-204.51851,86,3.220687
-223.82338,69,3.22275
-10.072636,84,3.233212
-40.478752,61,3.244819
-83.17267,118,3.247001
-81.45888,68,3.253835
-145.18048,119,3.29833
-15.785217,58,3.323844
-27.913755,74,3.331332
-92.965,85,3.33922
-111.09198,157,3.3557
-52.511814,70,3.371569
-112.501785,79,3.374539
-166.31454,72,3.38204
-265.48303,95,3.384169
-353.835,110,3.388999
-23.91221,82,3.42146
-120.311554,112,3.435498
-178.79663,85,3.442191
-244.80228,83,3.444198
-23.782131,77,3.480379
-198.12645,52,3.495101
-109.364075,129,3.51114
-23.303398,117,3.513134
-88.899,84,3.526748
-61.371483,73,3.536942
-268.7747,93,3.537029
-147.26047,60,3.543833
-217.3342,102,3.547768
-251.84906,95,3.558525
-286.3389,85,3.560638
-89.45956,103,3.584508
-44.839302,86,3.61234
-156.29182,89,3.616585
-56.605453,60,3.622584
-86.132935,81,3.632314
-39.710938,124,3.640051
-187.38326,79,3.642406
-55.39969,110,3.650982
-101.86404,73,3.663059
4.67865,74,3.674222
-143.87619,99,3.696782
-160.8442,73,3.699025
-89.52693,85,3.720338
-59.06613,76,3.729257
-231.64305,97,3.732159
-55.949986,114,3.75132
-110.154396,89,3.775626
-81.9271,75,3.775718
-88.08472,70,3.778097
-405.9352,126,3.778166
-45.608124,58,3.782823
-88.225426,96,3.796631
-171.32162,91,3.813383
-149.13914,99,3.820434
-63.142303,89,3.833837
-89.85489,60,3.846567
-61.930298,122,3.853234
-69.24331,76,3.874192
-325.7519,83,3.877896
-90.212616,106,3.896348
-87.04444,63,3.902949
-161.09045,83,3.911026
-172.59036,49,3.913004
-204.74165,65,3.924798
-51.647316,73,3.924889
-276.98224,81,3.947758
-18.07663,133,9.822438
-118.25569,69,9.854033
-59.68577,75,9.858953
-253.23221,113,9.868149
-30.119442,63,9.870702
-237.10686,122,9.885273
-56.596573,74,9.887835
47.12952,117,9.907633
-124.767715,73,9.921834
-150.28227,63,9.930641
-217.94398,82,9.935675
-88.006165,96,9.949526
-224.26549,133,9.953449
-130.37616,86,9.953525
-139.2768,89,9.961787
-103.371155,76,9.968629
-111.40543,115,9.997855
-57.703377,70,10.00935
-99.04961,91,10.034639
-209.13116,76,10.034733
-112.38252,89,10.042415
-55.510567,86,10.08291
-201.82315,85,10.097929
-293.723,120,10.10262
-72.30198,63,10.102709
-56.4573,75,10.115243
-71.46545,90,10.119645
-233.92873,79,10.124127
-91.654274,73,10.146508
-103.47995,99,10.155173
-45.996483,135,10.157123
-179.55182,68,10.171704
-191.46347,109,10.185424
-54.39554,77,10.191574
-74.57497,127,10.196509
-124.980606,84,10.213497
-110.10302,105,10.218615
-37.433777,77,10.242946
-14.141319,77,10.267123
-102.102486,92,10.279325
-57.655952,103,10.286294
-58.79327,78,10.298913
-44.952606,61,10.316056
-59.848034,101,10.320199
-28.828154,107,10.324501
-45.667976,88,10.332896
-234.17036,118,10.33577
-148.36494,91,10.338396
-80.47533,92,10.356662
-127.35213,95,10.373208
-85.775314,96,10.382297
-39.476513,74,10.39896
-91.48055,90,10.401542
-68.45449,126,10.467156
-38.97178,65,10.470168
-82.27052,88,10.495313
-78.091736,82,10.504122
-93.67236,112,10.511664
-95.153015,77,10.516819
-303.9019,108,10.524641
-60.01887,119,10.534315
-131.2474,136,10.550832
-99.27171,110,10.550908
-112.677376,101,10.589536
-137.06299,61,10.592082
-156.6397,131,10.592173
-45.990314,107,10.59496
-293.80298,102,10.610611
3.340046,138,10.61985
-47.66248,78,10.634899
-130.48889,75,10.661145
-132.96555,84,10.672517
-27.610783,79,10.686521
-119.5338,139,10.689172
-44.543488,85,10.706058
-31.928629,103,10.733739
-71.23387,69,10.74321
-152.81937,111,10.782248
-53.964306,130,10.786976
-43.253403,92,10.7898
-106.54336,91,10.792449
-72.180756,76,10.796462
-159.5503,86,10.802405
-90.08621,69,10.808103
-58.958656,126,10.814474
-153.68596,103,10.814562
-61.378464,77,10.851844
-66.268845,140,10.899721
-593.72894,118,10.914493
-7.388237,68,10.917057
-97.999115,93,10.928584
-16.53817,74,10.940188
-22.971062,73,10.946893
-133.829,118,10.951831
-63.2395,87,10.969319
-48.661392,143,10.982776
-179.2084,87,10.982865
-98.79363,93,10.999969
-26.270367,75,11.002289
-59.813946,116,11.021813
-161.5632,157,11.058122
-195.87885,133,11.062734
-187.48521,127,11.074562
-33.256752,80,11.084788
-46.450905,71,11.094991
-38.61583,100,11.104919
-64.53381,85,11.104997
-22.786922,79,11.112637
-45.359962,64,11.112725
-4.8005676,74,11.131086
-22.734028,62,11.143357
-53.222527,62,11.175535
-43.130867,54,11.185099
-77.55638,124,11.187431
-79.84439,110,11.190415
-189.3578,110,11.21784
-39.51066,152,11.219867
-142.82838,121,11.234396
-51.022552,112,11.27442
-128.29205,95,11.274504
-12.012928,91,11.279229
-106.339386,93,11.291921
-119.18701,121,11.304488
-161.80373,100,11.30458
-126.78439,70,11.322946
-76.935814,77,11.323035
-42.983425,94,11.325773
-165.45685,105,11.336746
-111.06433,120,11.339346
-63.84147,87,11.355601
-35.996452,80,11.38562
-195.1828,99,11.38795
-15.70953,93,11.410414
-83.12107,69,11.422044
-194.89871,97,11.444615
-78.17399,81,11.454381
-20.89082,91,11.471475
0.7722168,68,11.47642
-196.59793,93,11.49555
-173.3641,87,11.498166
-268.82135,86,11.530789
-84.27793,92,11.530881
-30.882423,96,11.541855
-193.14345,108,11.544423
-41.60671,118,11.627911
-62.73745,66,11.630854
-98.17035,113,11.649557
-186.29889,137,11.652485
-69.97841,69,11.661924
-165.37666,111,11.671886
-48.578472,125,11.676908
-146.53133,88,11.681413
44.566376,119,11.704169
-85.02037,72,11.707281
-106.40025,113,11.713101
-84.779106,76,11.731224
-109.95794,121,11.744811
-90.57405,104,11.747086
-87.96944,82,11.747153
-32.454468,92,11.754457
23.02351,71,11.818963
71.544876,93,11.837078
-64.46471,86,11.840019
-23.645414,68,11.846789
-104.69672,83,11.851127
-75.84216,80,11.853745
-321.1571,105,11.877949
-111.107,77,11.885097
-14.4421425,76,11.896157
-27.546642,95,11.907539
-144.67209,112,11.913027
-5.338352,134,11.918074
-22.703308,95,17.893561
