#{"t_start": 1780256045.0957394, "env_id": "None"}
r,l,t
-90.392815,60,1.410401
-107.61922,67,1.423363
-101.15955,68,1.425761
-116.98598,76,1.440047
-154.27756,78,1.444721
-294.78555,78,1.444782
-123.671616,79,1.44651
-98.64761,80,1.44931
-442.51163,82,1.45303
-126.91548,91,1.468701
-157.9333,92,1.470721
-220.52176,104,1.49265
-173.78494,106,1.496262
39.248825,111,1.504992
-121.048,122,1.527846
-98.830826,135,1.551001
-104.51024,64,1.563526
-221.77551,78,1.568913
-58.504276,70,1.580839
-174.09506,95,1.586408
-108.606964,78,1.588825
-84.60686,97,1.604275
-190.91428,77,1.611311
-122.29229,66,1.613618
-176.31918,88,1.631001
-357.18585,103,1.639737
-198.92764,92,1.674923
-158.38052,63,1.689973
-74.65974,135,1.703025
-420.48212,142,1.724017
-336.5544,121,1.745478
-412.26022,78,1.74809
-373.1294,116,1.757679
-479.101,107,1.764468
-158.05061,70,1.782631
-127.95362,108,1.782711
-464.67786,98,1.784628
-311.53497,85,1.784693
-308.33887,97,1.806539
-90.89488,63,1.80874
-116.88276,116,1.808816
-322.28333,73,1.814265
-183.2116,92,1.814342
-113.83193,118,1.837122
-78.07794,65,1.862375
-135.34981,55,1.862445
-139.96257,75,1.88922
-79.60244,64,1.896037
-187.11316,116,1.91375
-329.15723,75,1.916116
-134.25645,79,1.924521
-130.33911,75,1.947498
-139.89917,128,1.953166
-179.9278,121,1.962043
-130.22769,103,1.966823
-311.04492,91,1.969228
-52.32448,97,1.979721
-178.07187,85,1.9855
-259.55392,109,2.000929
-376.9999,108,2.005223
-85.26417,68,2.009425
-63.968582,59,2.017972
-118.135864,91,2.022391
-173.41849,100,2.042752
-120.92902,69,2.089152
-84.48508,60,2.103017
-421.84808,91,2.124919
-136.91388,111,2.129017
-92.65611,108,2.133434
-135.23201,91,2.145926
-110.85416,92,2.146004
-94.8254,136,2.153509
-308.42825,100,2.155783
-87.055626,93,2.168338
-114.78335,71,2.180128
-118.41387,87,2.180217
-122.77031,84,2.184887
-75.62256,107,2.212873
-276.9981,114,2.221812
-177.99783,87,2.246145
-167.63074,127,2.262665
-315.65375,77,2.267968
-167.04521,93,2.268047
-144.7194,86,2.281746
-61.88509,60,2.290959
-97.17116,93,2.312494
-117.1803,89,2.31462
-141.51338,78,2.319958
-152.9897,86,2.32201
-176.00572,113,2.327529
-127.293625,68,2.334539
-378.97696,96,2.351878
-284.9468,119,2.358709
-38.65118,116,2.36074
-136.61678,79,2.362566
-235.1479,67,2.389632
-95.849464,62,2.393499
-161.28264,73,2.395799
-328.6878,61,2.422709
-153.41022,100,2.426254
-71.13287,60,2.44211
-281.01154,75,2.448728
26.369476,89,2.450888
-142.9153,74,2.455302
-92.0671,110,2.468275
-251.35533,82,2.476675
-219.43088,91,2.486194
-123.04696,81,2.505102
-102.22866,87,2.515285
-411.63065,96,2.523221
-114.31237,104,2.548969
-105.964005,93,2.556216
-71.07767,71,2.567841
-213.67416,63,2.578484
-215.32965,75,2.584394
-74.03716,91,2.588345
-418.88303,94,2.590127
-106.37967,83,2.596832
-132.81046,114,2.600492
-486.06348,122,2.612439
-273.83182,88,2.633205
-147.22064,61,2.635325
-170.49677,101,2.63782
-284.19086,112,2.68862
-243.48628,103,2.697464
-55.436115,67,2.714816
-105.01614,111,2.723853
-327.77414,80,2.734271
-397.79617,90,2.742042
-160.63193,72,2.75194
-150.09302,84,2.752012
-193.79413,84,2.761185
-276.757,113,2.763275
-235.06055,72,2.771995
-155.92348,71,2.772068
-124.23531,70,2.772081
-233.66919,109,2.802604
-123.80595,123,2.82036
-129.43925,71,2.822632
-60.78601,143,2.824916
-226.03139,64,2.832066
-46.56684,78,2.866716
-69.48767,70,2.878073
-173.47675,98,2.878148
-98.94302,61,2.882263
-104.61926,79,2.893872
-227.96588,90,2.921554
-84.53735,88,2.929606
-305.28168,89,2.931712
-114.000336,62,2.934459
-476.15353,113,2.936033
-179.24944,102,2.941118
-358.65723,115,2.9458
-103.102585,73,2.960948
-277.92026,81,2.965955
-151.51813,105,2.989042
-126.83803,81,3.016582
-101.57987,114,3.018699
-43.72827,60,3.037822
-85.00992,64,3.041912
-346.23834,107,3.070215
-195.8044,81,3.072264
-27.022293,86,3.076289
-236.87698,129,3.092502
-218.06113,129,3.104538
-166.69772,82,3.109794
-374.99097,99,3.109868
-52.77924,128,3.11812
-340.3556,105,3.1261
-116.25719,105,3.129993
-71.80687,76,3.153161
-447.8066,98,3.161952
-108.048,120,3.170647
